condition_mesh_terms	Days	MeshSystem
Cognitive Dysfunction	487	Mental Disorders
Adenocarcinoma	821	Neoplasms
Lung Diseases	212	Respiratory Tract
Premature Birth	1004	Female
Melanoma	922	Neoplasms
Migraine Disorders	1065	Nervous System
Glioblastoma	1765	Neoplasms
Psoriasis	546	Skin and Connective Tissue
Hepatitis	699	Digestive System
Virus Diseases	699	Infections
Migraine Disorders	854	Nervous System
Carcinoma	2556	Neoplasms
Cholangiocarcinoma	2556	Neoplasms
Hepatitis	671	Digestive System
Attention Deficit Disorder with Hyperactivity	457	Mental Disorders
Head and Neck Neoplasms	730	Neoplasms
Tuberculosis	618	Infections
Dermatitis	365	Skin and Connective Tissue
Eczema	365	Skin and Connective Tissue
Psoriasis	304	Skin and Connective Tissue
Neoplasms	2222	Neoplasms
Melanoma	2130	Neoplasms
Neuroendocrine Tumors	1065	Neoplasms
Myelodysplastic Syndromes	1614	Hemic and Lymphatic
Glioblastoma	944	Neoplasms
Melanoma	2955	Neoplasms
Neoplasms	1034	Neoplasms
Leukemia	2526	Neoplasms
Myelodysplastic Syndromes	2526	Hemic and Lymphatic
Myeloproliferative Disorders	2526	Hemic and Lymphatic
Neoplasms	2526	Neoplasms
Keratoconjunctivitis Sicca	424	Eye
Dry Eye Syndromes	424	Eye
Sarcoma	1370	Neoplasms
Glioblastoma	1826	Neoplasms
Osteoarthritis	304	Musculoskeletal
Hypertension	3096	Cardiovascular
Schizophrenia	792	Mental Disorders
Leukemia	670	Neoplasms
Head and Neck Neoplasms	1096	Neoplasms
Myelodysplastic Syndromes	2314	Hemic and Lymphatic
Adenocarcinoma	2710	Neoplasms
Motor Neuron Disease	245	Nervous System
Leukemia	365	Neoplasms
Carcinoma	2009	Neoplasms
Macular Degeneration	823	Eye
Osteoarthritis	365	Musculoskeletal
Carcinoma	2651	Neoplasms
Heart Failure	915	Cardiovascular
Head and Neck Neoplasms	1918	Neoplasms
Conjunctivitis	882	Eye
Migraine Disorders	641	Nervous System
Carcinoma	1067	Neoplasms
Adenocarcinoma	1067	Neoplasms
Leukemia	2953	Neoplasms
Motor Neuron Disease	2373	Nervous System
Psoriasis	914	Skin and Connective Tissue
Head and Neck Neoplasms	486	Neoplasms
Hypersensitivity	1037	Immune System
Lung Diseases	245	Respiratory Tract
Arthritis	823	Musculoskeletal
Myelodysplastic Syndromes	1339	Hemic and Lymphatic
Parkinson Disease	487	Nervous System
Heart Failure	334	Cardiovascular
Hypertension	273	Cardiovascular
Leukemia	4445	Neoplasms
Carcinoma	1614	Neoplasms
Adenocarcinoma	1614	Neoplasms
Cholangiocarcinoma	1614	Neoplasms
Schizophrenia	2345	Mental Disorders
Psychotic Disorders	2345	Mental Disorders
Leukemia	3013	Neoplasms
Myelodysplastic Syndromes	3013	Hemic and Lymphatic
Myeloproliferative Disorders	3013	Hemic and Lymphatic
Myelodysplastic-Myeloproliferative Diseases	3013	Hemic and Lymphatic
Hypertension	396	Cardiovascular
Liver Diseases	426	Digestive System
Fatty Liver	426	Digestive System
Non-alcoholic Fatty Liver Disease	426	Digestive System
Metabolic Syndrome	426	Nutritional and Metabolic
Schizophrenia	549	Mental Disorders
Cognitive Dysfunction	549	Mental Disorders
Leukemia	1096	Neoplasms
Sarcoma	1096	Neoplasms
Neuroblastoma	1096	Neoplasms
Heart Failure	671	Cardiovascular
Psoriasis	491	Skin and Connective Tissue
Premature Birth	2100	Female
Leukemia	2538	Neoplasms
Hypertension	284	Cardiovascular
Leukemia	212	Neoplasms
Glaucoma	365	Eye
Ocular Hypertension	365	Eye
Hypertension	365	Cardiovascular
Schizophrenia	974	Mental Disorders
Graft vs Host Disease	2253	Immune System
Macular Edema	1522	Eye
Mesothelioma	1705	Neoplasms
Sarcoma	1402	Neoplasms
Hypercholesterolemia	183	Nutritional and Metabolic
Dyslipidemias	183	Nutritional and Metabolic
Glioblastoma	1979	Neoplasms
Parkinson Disease	640	Nervous System
Glioblastoma	1857	Neoplasms
Glioma	1857	Neoplasms
Gliosarcoma	1857	Neoplasms
Leukemia	2223	Neoplasms
Neuroblastoma	3109	Neoplasms
Macular Degeneration	610	Eye
Glioblastoma	761	Neoplasms
Arthritis	608	Musculoskeletal
Leukemia	1308	Neoplasms
Carcinoma	730	Neoplasms
Psoriasis	426	Skin and Connective Tissue
Carcinoma	2084	Neoplasms
Melanoma	731	Neoplasms
Coronary Artery Disease	334	Cardiovascular
Myocardial Ischemia	334	Cardiovascular
Coronary Disease	334	Cardiovascular
Glioma	2162	Neoplasms
Keratoconjunctivitis Sicca	244	Eye
Dry Eye Syndromes	244	Eye
Epilepsy	457	Nervous System
Epilepsy	792	Nervous System
Parkinson Disease	1341	Nervous System
Melanoma	2284	Neoplasms
Osteoarthritis	198	Musculoskeletal
Premature Birth	1096	Female
Lung Diseases	244	Respiratory Tract
Psoriasis	884	Skin and Connective Tissue
Adenocarcinoma	2457	Neoplasms
Heart Failure	457	Cardiovascular
Myelodysplastic Syndromes	3494	Hemic and Lymphatic
Carcinoma	912	Neoplasms
Macular Edema	1037	Eye
Leukemia	2406	Neoplasms
Thrombocytopenia	516	Hemic and Lymphatic
Melanoma	1675	Neoplasms
Macular Degeneration	853	Eye
Leukemia	2875	Neoplasms
Peripheral Nervous System Diseases	151	Nervous System
Graft vs Host Disease	1369	Immune System
Keratoconjunctivitis Sicca	274	Eye
Dry Eye Syndromes	274	Eye
Macular Degeneration	518	Eye
Sarcoma	1096	Neoplasms
Virus Diseases	3455	Infections
Carcinoma	2744	Neoplasms
Melanoma	1553	Neoplasms
Glioma	1277	Neoplasms
Hypertension	1006	Cardiovascular
Leukemia	1007	Neoplasms
Anemia	1096	Hemic and Lymphatic
Hypercholesterolemia	426	Nutritional and Metabolic
Dyslipidemias	426	Nutritional and Metabolic
Acne Vulgaris	153	Skin and Connective Tissue
Graft vs Host Disease	2983	Immune System
Conjunctivitis	122	Eye
Psoriasis	2283	Skin and Connective Tissue
Melanoma	2741	Neoplasms
Carcinoma	671	Neoplasms
Carcinoma	1673	Neoplasms
Depressive Disorder	548	Mental Disorders
Leukemia	3251	Neoplasms
Leukemia	1249	Neoplasms
Carcinoma	793	Neoplasms
Neuroendocrine Tumors	1219	Neoplasms
Hepatitis	976	Digestive System
Virus Diseases	976	Infections
Hypertension	212	Cardiovascular
Arthritis	820	Musculoskeletal
Leukemia	1127	Neoplasms
Adenocarcinoma	1461	Neoplasms
Glaucoma	610	Eye
Ocular Hypertension	610	Eye
Hypertension	610	Cardiovascular
Osteoarthritis	244	Musculoskeletal
Attention Deficit Disorder with Hyperactivity	276	Mental Disorders
Melanoma	2983	Neoplasms
Adenocarcinoma	1127	Neoplasms
Hepatitis	762	Digestive System
Heart Failure	457	Cardiovascular
Migraine Disorders	311	Nervous System
Neuroblastoma	1338	Neoplasms
Astrocytoma	1338	Neoplasms
Leukemia	2100	Neoplasms
Hepatitis	609	Digestive System
Sarcoma	2474	Neoplasms
Carcinoma	1279	Neoplasms
Leukemia	792	Neoplasms
Myelodysplastic Syndromes	792	Hemic and Lymphatic
Malaria	273	Infections
Thrombocytopenia	1122	Hemic and Lymphatic
Arthritis	639	Musculoskeletal
Melanoma	2161	Neoplasms
Hepatitis	640	Digestive System
Leukemia	1035	Neoplasms
Conjunctivitis	334	Eye
Adenocarcinoma	1644	Neoplasms
Malaria	1338	Infections
Metabolic Syndrome	669	Nutritional and Metabolic
Glioma	1218	Neoplasms
Adenocarcinoma	2191	Neoplasms
Melanoma	1750	Neoplasms
Adenocarcinoma	1369	Neoplasms
Hypertension	243	Cardiovascular
Thrombocytopenia	549	Hemic and Lymphatic
Adenocarcinoma	2878	Neoplasms
Irritable Bowel Syndrome	442	Digestive System
Heart Failure	123	Cardiovascular
Cardiovascular Diseases	1798	Cardiovascular
Tuberculosis	454	Infections
Arthritis	365	Musculoskeletal
Psoriasis	2352	Skin and Connective Tissue
Carcinoma	2040	Neoplasms
Adenocarcinoma	2040	Neoplasms
Heart Failure	1035	Cardiovascular
Melanoma	1706	Neoplasms
Carcinoma	1614	Neoplasms
Lung Diseases	273	Respiratory Tract
Carcinoma	1065	Neoplasms
Cholangiocarcinoma	1065	Neoplasms
Melanoma	2123	Neoplasms
Psoriasis	520	Skin and Connective Tissue
Sarcoma	1706	Neoplasms
Fatty Liver	853	Digestive System
Non-alcoholic Fatty Liver Disease	853	Digestive System
Crohn Disease	1339	Digestive System
Hypertension	1430	Cardiovascular
Heart Failure	1430	Cardiovascular
Hypersensitivity	1887	Immune System
Macular Degeneration	305	Eye
Glaucoma	2507	Eye
Ocular Hypertension	2507	Eye
Hypertension	2507	Cardiovascular
Macular Degeneration	792	Eye
Arthritis	884	Musculoskeletal
Parkinson Disease	518	Nervous System
Head and Neck Neoplasms	1856	Neoplasms
Leukemia	640	Neoplasms
Leukemia	609	Neoplasms
Neoplasms	1887	Neoplasms
Conjunctivitis	183	Eye
Graft vs Host Disease	1614	Immune System
Carcinoma	1857	Neoplasms
Macular Degeneration	853	Eye
Leukemia	1461	Neoplasms
Anemia	1461	Hemic and Lymphatic
Myelodysplastic Syndromes	1461	Hemic and Lymphatic
Carcinoma	2863	Neoplasms
Colitis	489	Digestive System
Parkinson Disease	1277	Nervous System
Leukemia	8007	Neoplasms
Myelodysplastic Syndromes	8007	Hemic and Lymphatic
Hypertension	1004	Cardiovascular
Dermatitis	822	Skin and Connective Tissue
Eczema	822	Skin and Connective Tissue
Hepatitis	943	Digestive System
Migraine Disorders	1520	Nervous System
Virus Diseases	700	Infections
Anemia	2077	Hemic and Lymphatic
Hepatitis	2376	Digestive System
Liver Diseases	699	Digestive System
Fatty Liver	699	Digestive System
Non-alcoholic Fatty Liver Disease	699	Digestive System
Anemia	1218	Hemic and Lymphatic
Thrombocytopenia	1734	Hemic and Lymphatic
Irritable Bowel Syndrome	153	Digestive System
Primary Myelofibrosis	215	Hemic and Lymphatic
Colitis	1845	Digestive System
Metabolic Syndrome	1247	Nutritional and Metabolic
Tuberculosis	1158	Infections
Hypertension	396	Cardiovascular
Metabolic Syndrome	396	Nutritional and Metabolic
Liver Diseases	761	Digestive System
Malaria	549	Infections
Carcinoma	2359	Neoplasms
Leukemia	2101	Neoplasms
Myelodysplastic Syndromes	2101	Hemic and Lymphatic
Hypersensitivity	335	Immune System
Tuberculosis	609	Infections
Mesothelioma	2459	Neoplasms
Acne Vulgaris	153	Skin and Connective Tissue
Osteoarthritis	456	Musculoskeletal
Epilepsy	1522	Nervous System
Graft vs Host Disease	1552	Immune System
Leukemia	2468	Neoplasms
Coronary Artery Disease	243	Cardiovascular
Myocardial Ischemia	243	Cardiovascular
Coronary Disease	243	Cardiovascular
Heart Failure	306	Cardiovascular
Hepatitis	1004	Digestive System
Neuroblastoma	3013	Neoplasms
Neuroblastoma	2954	Neoplasms
Neuroblastoma	2966	Neoplasms
Hypertension	365	Cardiovascular
Hepatitis	426	Digestive System
Arthritis	1247	Musculoskeletal
Heart Failure	791	Cardiovascular
Sarcoma	2009	Neoplasms
Leukemia	1430	Neoplasms
Anemia	700	Hemic and Lymphatic
Carcinoma	1492	Neoplasms
Neoplasms	1461	Neoplasms
Heart Failure	456	Cardiovascular
Bipolar Disorder	1157	Mental Disorders
Leukemia	1552	Neoplasms
Hypertension	914	Cardiovascular
Hypersensitivity	2526	Immune System
Hepatitis	639	Digestive System
Schizophrenia	1430	Mental Disorders
Melanoma	2161	Neoplasms
Depressive Disorder	306	Mental Disorders
Crohn Disease	2675	Digestive System
Parkinson Disease	184	Nervous System
Leukemia	731	Neoplasms
Carcinoma	1126	Neoplasms
Macular Degeneration	1522	Eye
Schizophrenia	488	Mental Disorders
Keratoconjunctivitis Sicca	365	Eye
Dry Eye Syndromes	365	Eye
Melanoma	2162	Neoplasms
Glioma	2427	Neoplasms
Arthritis	1127	Musculoskeletal
Hypertension	365	Cardiovascular
Malaria	273	Infections
Anemia	762	Hemic and Lymphatic
Myelodysplastic Syndromes	762	Hemic and Lymphatic
Thrombocytopenia	762	Hemic and Lymphatic
Hypersensitivity	854	Immune System
Bipolar Disorder	1035	Mental Disorders
Psoriasis	365	Skin and Connective Tissue
Malaria	184	Infections
Leukemia	1431	Neoplasms
Myeloproliferative Disorders	1431	Hemic and Lymphatic
Lung Diseases	426	Respiratory Tract
Neuroendocrine Tumors	1311	Neoplasms
Hepatitis	853	Digestive System
Carcinoma	2313	Neoplasms
Autistic Disorder	3013	Mental Disorders
Hepatitis	107	Digestive System
Squamous Cell Carcinoma of Head and Neck	639	Neoplasms
Parkinson Disease	1096	Nervous System
Melanoma	1249	Neoplasms
Attention Deficit Disorder with Hyperactivity	2435	Mental Disorders
Heart Failure	884	Cardiovascular
Schizophrenia	304	Mental Disorders
Irritable Bowel Syndrome	276	Digestive System
Carcinoma	2191	Neoplasms
Glioblastoma	2334	Neoplasms
Neuroendocrine Tumors	2334	Neoplasms
Irritable Bowel Syndrome	396	Digestive System
Leukemia	853	Neoplasms
Carcinoma	1887	Neoplasms
Adenocarcinoma	1887	Neoplasms
Arthritis	396	Musculoskeletal
Cardiovascular Diseases	823	Cardiovascular
Carcinoma	1065	Neoplasms
Tuberculosis	1308	Infections
Hypersensitivity	334	Immune System
Melanoma	2247	Neoplasms
Hepatitis	456	Digestive System
Primary Myelofibrosis	731	Hemic and Lymphatic
Myeloproliferative Disorders	731	Hemic and Lymphatic
Osteoarthritis	1157	Musculoskeletal
Carcinoma	943	Neoplasms
Adenocarcinoma	2800	Neoplasms
Leukemia	1583	Neoplasms
Premature Birth	122	Female
Hepatitis	1581	Digestive System
Squamous Cell Carcinoma of Head and Neck	1249	Neoplasms
Mesothelioma	2496	Neoplasms
Carcinoma	974	Neoplasms
Osteoarthritis	1249	Musculoskeletal
Carcinoma	1867	Neoplasms
Adenocarcinoma	1867	Neoplasms
Carcinoma	2206	Neoplasms
Arthritis	182	Musculoskeletal
Mesothelioma	1445	Neoplasms
Dyslipidemias	426	Nutritional and Metabolic
Adenocarcinoma	2443	Neoplasms
Acne Vulgaris	550	Skin and Connective Tissue
Glioblastoma	2040	Neoplasms
Cardiovascular Diseases	610	Cardiovascular
Malaria	578	Infections
Leukemia	761	Neoplasms
Cardiovascular Diseases	396	Cardiovascular
Tuberculosis	153	Infections
Lung Diseases	151	Respiratory Tract
Hepatitis	578	Digestive System
Tuberculosis	304	Infections
Adenocarcinoma	1400	Neoplasms
Sarcoma	487	Neoplasms
Neoplasms	487	Neoplasms
Sarcoma	1704	Neoplasms
Dermatitis	153	Skin and Connective Tissue
Eczema	153	Skin and Connective Tissue
Glaucoma	557	Eye
Ocular Hypertension	557	Eye
Hypertension	557	Cardiovascular
Anemia	580	Hemic and Lymphatic
Myelodysplastic Syndromes	761	Hemic and Lymphatic
Thrombocytopenia	761	Hemic and Lymphatic
Autistic Disorder	276	Mental Disorders
Migraine Disorders	1583	Nervous System
Hepatitis	1066	Digestive System
Tuberculosis	122	Infections
Carcinoma	1553	Neoplasms
Adenocarcinoma	1553	Neoplasms
Psoriasis	730	Skin and Connective Tissue
Hepatitis	792	Digestive System
Macular Degeneration	2414	Eye
Glaucoma	701	Eye
Ocular Hypertension	701	Eye
Leukemia	1887	Neoplasms
Lung Diseases	973	Respiratory Tract
Melanoma	1560	Neoplasms
Anxiety Disorders	1369	Mental Disorders
Adenocarcinoma	912	Neoplasms
Dermatitis	517	Skin and Connective Tissue
Eczema	517	Skin and Connective Tissue
Psoriasis	365	Skin and Connective Tissue
Adenocarcinoma	2253	Neoplasms
Carcinoma	1767	Neoplasms
Hepatitis	1126	Digestive System
Depressive Disorder	1522	Mental Disorders
Fatty Liver	212	Digestive System
Non-alcoholic Fatty Liver Disease	212	Digestive System
Metabolic Syndrome	212	Nutritional and Metabolic
Cholangiocarcinoma	2008	Neoplasms
Sarcoma	1643	Neoplasms
Adenocarcinoma	2557	Neoplasms
Neoplasms	913	Neoplasms
Osteoarthritis	242	Musculoskeletal
Leukemia	3031	Neoplasms
Leukemia	2989	Neoplasms
Psoriasis	762	Skin and Connective Tissue
Adenocarcinoma	2497	Neoplasms
Carcinoma	1004	Neoplasms
Cardiovascular Diseases	610	Cardiovascular
Leukemia	2192	Neoplasms
Glioblastoma	2332	Neoplasms
Parkinson Disease	304	Nervous System
Glaucoma	304	Eye
Ocular Hypertension	304	Eye
Hypertension	304	Cardiovascular
Psoriasis	608	Skin and Connective Tissue
Heart Diseases	730	Cardiovascular
Coronary Disease	730	Cardiovascular
Coronary Artery Disease	730	Cardiovascular
Myocardial Ischemia	730	Cardiovascular
Adenocarcinoma	1612	Neoplasms
Osteoarthritis	181	Musculoskeletal
Malaria	1440	Infections
Anemia	2101	Hemic and Lymphatic
Hepatitis	1736	Digestive System
Carcinoma	1005	Neoplasms
Carcinoma	1888	Neoplasms
Motor Neuron Disease	517	Nervous System
Adenocarcinoma	1308	Neoplasms
Lung Diseases	120	Respiratory Tract
Neoplasms	2496	Neoplasms
Depressive Disorder	427	Mental Disorders
Adenocarcinoma	2510	Neoplasms
Schizophrenia	578	Mental Disorders
Leukemia	1216	Neoplasms
Heart Diseases	579	Cardiovascular
Myocardial Ischemia	579	Cardiovascular
Coronary Artery Disease	579	Cardiovascular
Melanoma	2100	Neoplasms
Dyslipidemias	701	Nutritional and Metabolic
Heart Failure	1734	Cardiovascular
Coronary Artery Disease	1734	Cardiovascular
Myocardial Ischemia	1734	Cardiovascular
Coronary Disease	1734	Cardiovascular
Anxiety Disorders	1124	Mental Disorders
Leukemia	1247	Neoplasms
Carcinoma	2205	Neoplasms
Squamous Cell Carcinoma of Head and Neck	2205	Neoplasms
Lung Diseases	412	Respiratory Tract
Dyslipidemias	288	Nutritional and Metabolic
Neoplasms	1522	Neoplasms
Adenocarcinoma	945	Neoplasms
Tuberculosis	547	Infections
Leukemia	821	Neoplasms
Heart Diseases	1185	Cardiovascular
Glioma	2041	Neoplasms
Hepatitis	761	Digestive System
Osteoarthritis	1249	Musculoskeletal
Hepatitis	548	Digestive System
Carcinoma	1766	Neoplasms
Leukemia	912	Neoplasms
Myelodysplastic Syndromes	912	Hemic and Lymphatic
Neoplasms	912	Neoplasms
Hypertension	243	Cardiovascular
Neoplasms	488	Neoplasms
Anemia	1492	Hemic and Lymphatic
Hepatitis	762	Digestive System
Hepatitis	366	Digestive System
Acne Vulgaris	456	Skin and Connective Tissue
Carcinoma	1948	Neoplasms
Squamous Cell Carcinoma of Head and Neck	1948	Neoplasms
Head and Neck Neoplasms	1948	Neoplasms
Neoplasms	1948	Neoplasms
Melanoma	1826	Neoplasms
Hepatitis	1308	Digestive System
Lung Diseases	731	Respiratory Tract
Hypertension	731	Cardiovascular
Carcinoma	2974	Neoplasms
Macular Degeneration	549	Eye
Tuberculosis	214	Infections
Arthritis	578	Musculoskeletal
Glioblastoma	1158	Neoplasms
Arthritis	303	Musculoskeletal
Macular Degeneration	1522	Eye
Attention Deficit Disorder with Hyperactivity	212	Mental Disorders
Mesothelioma	2739	Neoplasms
Dermatitis	273	Skin and Connective Tissue
Eczema	273	Skin and Connective Tissue
Anemia	701	Hemic and Lymphatic
Psoriasis	1086	Skin and Connective Tissue
Heart Diseases	882	Cardiovascular
Coronary Disease	882	Cardiovascular
Coronary Artery Disease	882	Cardiovascular
Myocardial Ischemia	882	Cardiovascular
Myelodysplastic Syndromes	1522	Hemic and Lymphatic
Neoplasms	1065	Neoplasms
Leukemia	1582	Neoplasms
Depressive Disorder	547	Mental Disorders
Psoriasis	273	Skin and Connective Tissue
Dermatitis	1430	Skin and Connective Tissue
Hypertension	2861	Cardiovascular
Macular Edema	1277	Eye
Leukemia	1126	Neoplasms
Melanoma	2800	Neoplasms
Psoriasis	456	Skin and Connective Tissue
Cardiovascular Diseases	120	Cardiovascular
Anemia	212	Hemic and Lymphatic
Leukemia	1006	Neoplasms
Myelodysplastic Syndromes	1006	Hemic and Lymphatic
Glioma	2143	Neoplasms
Astrocytoma	2143	Neoplasms
Primary Myelofibrosis	1308	Hemic and Lymphatic
Carcinoma	1308	Neoplasms
Head and Neck Neoplasms	2104	Neoplasms
Premature Birth	792	Female
Keratoconjunctivitis Sicca	334	Eye
Dry Eye Syndromes	334	Eye
Tuberculosis	244	Infections
Autistic Disorder	1308	Mental Disorders
Melanoma	304	Neoplasms
Adenocarcinoma	1765	Neoplasms
Leukemia	792	Neoplasms
Myelodysplastic Syndromes	792	Hemic and Lymphatic
Keratoconjunctivitis Sicca	304	Eye
Dry Eye Syndromes	304	Eye
Arthritis	1492	Musculoskeletal
Glioblastoma	578	Neoplasms
Leukemia	2994	Neoplasms
Myelodysplastic Syndromes	2994	Hemic and Lymphatic
Leukemia	2983	Neoplasms
Melanoma	762	Neoplasms
Melanoma	2039	Neoplasms
Carcinoma	1127	Neoplasms
Squamous Cell Carcinoma of Head and Neck	1127	Neoplasms
Heart Failure	761	Cardiovascular
Melanoma	1249	Neoplasms
Irritable Bowel Syndrome	821	Digestive System
Leukemia	1278	Neoplasms
Carcinoma	1035	Neoplasms
Melanoma	478	Neoplasms
Depressive Disorder	457	Mental Disorders
Glaucoma	212	Eye
Ocular Hypertension	212	Eye
Hypertension	212	Cardiovascular
Hepatitis	1218	Digestive System
Leukemia	1520	Neoplasms
Myelodysplastic Syndromes	1520	Hemic and Lymphatic
Malaria	915	Infections
Heart Failure	731	Cardiovascular
Lung Diseases	365	Respiratory Tract
Depressive Disorder	517	Mental Disorders
Carcinoma	1126	Neoplasms
Head and Neck Neoplasms	1126	Neoplasms
Neoplasms	610	Neoplasms
Hypertension	517	Cardiovascular
Hepatitis	640	Digestive System
Motor Neuron Disease	703	Nervous System
Keratoconjunctivitis Sicca	181	Eye
Dry Eye Syndromes	181	Eye
Carcinoma	639	Neoplasms
Carcinoma	2486	Neoplasms
Melanoma	2627	Neoplasms
Leukemia	1704	Neoplasms
Motor Neuron Disease	517	Nervous System
Adenocarcinoma	1251	Neoplasms
Sarcoma	1614	Neoplasms
Glioblastoma	1492	Neoplasms
Dyslipidemias	396	Nutritional and Metabolic
Neuroendocrine Tumors	1509	Neoplasms
Glioblastoma	1795	Neoplasms
Hypertension	334	Cardiovascular
Motor Neuron Disease	578	Nervous System
Sarcoma	1004	Neoplasms
Carcinoma	1430	Neoplasms
Depressive Disorder	578	Mental Disorders
Carcinoma	1340	Neoplasms
Parkinson Disease	945	Nervous System
Squamous Cell Carcinoma of Head and Neck	1400	Neoplasms
Head and Neck Neoplasms	1400	Neoplasms
Parkinson Disease	580	Nervous System
Neoplasms	2499	Neoplasms
Colitis	762	Digestive System
Epilepsy	517	Nervous System
Arthritis	550	Musculoskeletal
Liver Diseases	437	Digestive System
Fatty Liver	437	Digestive System
Macular Edema	639	Eye
Glioblastoma	456	Neoplasms
Arthritis	669	Musculoskeletal
Carcinoma	2366	Neoplasms
Motor Neuron Disease	517	Nervous System
Macular Edema	762	Eye
Acne Vulgaris	547	Skin and Connective Tissue
Carcinoma	1642	Neoplasms
Adenocarcinoma	1642	Neoplasms
Colitis	1371	Digestive System
Leukemia	915	Neoplasms
Parkinson Disease	827	Nervous System
Leukemia	1006	Neoplasms
Parkinson Disease	150	Nervous System
Sarcoma	1187	Neoplasms
Arthritis	884	Musculoskeletal
Carcinoma	639	Neoplasms
Hypertension	516	Cardiovascular
Leukemia	1402	Neoplasms
Myelodysplastic Syndromes	1402	Hemic and Lymphatic
Anemia	1004	Hemic and Lymphatic
Depressive Disorder	304	Mental Disorders
Carcinoma	2071	Neoplasms
Leukemia	1430	Neoplasms
Myelodysplastic Syndromes	1430	Hemic and Lymphatic
Primary Myelofibrosis	1430	Hemic and Lymphatic
Myeloproliferative Disorders	1430	Hemic and Lymphatic
Myelodysplastic-Myeloproliferative Diseases	1430	Hemic and Lymphatic
Macular Edema	1400	Eye
Hepatitis	396	Digestive System
Irritable Bowel Syndrome	334	Digestive System
Arthritis	2131	Musculoskeletal
Leukemia	3110	Neoplasms
Leukemia	882	Neoplasms
Crohn Disease	456	Digestive System
Keratoconjunctivitis Sicca	334	Eye
Dry Eye Syndromes	334	Eye
Crohn Disease	1647	Digestive System
Irritable Bowel Syndrome	1247	Digestive System
Hepatitis	701	Digestive System
Carcinoma	1492	Neoplasms
Melanoma	2809	Neoplasms
Hypercholesterolemia	304	Nutritional and Metabolic
Melanoma	639	Neoplasms
Peripheral Nervous System Diseases	1522	Nervous System
Osteoarthritis	880	Musculoskeletal
Fatty Liver	853	Digestive System
Non-alcoholic Fatty Liver Disease	853	Digestive System
Carcinoma	1061	Neoplasms
Adenocarcinoma	1061	Neoplasms
Adenocarcinoma	1612	Neoplasms
Cholangiocarcinoma	1612	Neoplasms
Hepatitis	608	Digestive System
Glaucoma	396	Eye
Ocular Hypertension	396	Eye
Hypertension	396	Cardiovascular
Leukemia	1705	Neoplasms
Hypercholesterolemia	245	Nutritional and Metabolic
Hypertension	334	Cardiovascular
Cardiovascular Diseases	334	Cardiovascular
Carcinoma	1876	Neoplasms
Adenocarcinoma	1876	Neoplasms
Parkinson Disease	1157	Nervous System
Psoriasis	337	Skin and Connective Tissue
Glioblastoma	670	Neoplasms
Adenocarcinoma	1277	Neoplasms
Carcinoma	822	Neoplasms
Carcinoma	1544	Neoplasms
Dyslipidemias	304	Nutritional and Metabolic
Hepatitis	1066	Digestive System
Leukemia	2011	Neoplasms
Myelodysplastic Syndromes	2011	Hemic and Lymphatic
Graft vs Host Disease	2638	Immune System
Macular Edema	1431	Eye
Crohn Disease	1853	Digestive System
Dermatitis	134	Skin and Connective Tissue
Eczema	134	Skin and Connective Tissue
Heart Failure	884	Cardiovascular
Psoriasis	131	Skin and Connective Tissue
Heart Failure	181	Cardiovascular
Dermatitis	194	Skin and Connective Tissue
Eczema	194	Skin and Connective Tissue
Leukemia	762	Neoplasms
Glaucoma	303	Eye
Ocular Hypertension	303	Eye
Hypertension	303	Cardiovascular
Melanoma	2161	Neoplasms
Adenocarcinoma	1004	Neoplasms
Graft vs Host Disease	2748	Immune System
Colitis	756	Digestive System
Osteoarthritis	488	Musculoskeletal
Crohn Disease	1461	Digestive System
Hypercholesterolemia	334	Nutritional and Metabolic
Hypercholesterolemia	243	Nutritional and Metabolic
Autistic Disorder	489	Mental Disorders
Sarcoma	1163	Neoplasms
Neuroblastoma	1163	Neoplasms
Hypertension	366	Cardiovascular
Leukemia	2338	Neoplasms
Myelodysplastic Syndromes	2338	Hemic and Lymphatic
Carcinoma	1583	Neoplasms
Acne Vulgaris	547	Skin and Connective Tissue
Hypertension	275	Cardiovascular
Hepatitis	912	Digestive System
Anemia	1461	Hemic and Lymphatic
Glioblastoma	2223	Neoplasms
Glaucoma	183	Eye
Ocular Hypertension	183	Eye
Hypertension	183	Cardiovascular
Crohn Disease	1185	Digestive System
Osteoarthritis	456	Musculoskeletal
Hepatitis	184	Digestive System
Sarcoma	2746	Neoplasms
Irritable Bowel Syndrome	639	Digestive System
Neoplasms	703	Neoplasms
Hypertension	396	Cardiovascular
Carcinoma	2832	Neoplasms
Neoplasms	1461	Neoplasms
Macular Degeneration	882	Eye
Myelodysplastic Syndromes	1957	Hemic and Lymphatic
Carcinoma	2054	Neoplasms
Myelodysplastic Syndromes	1584	Hemic and Lymphatic
Carcinoma	2164	Neoplasms
Carcinoma	2310	Neoplasms
Neoplasms	2310	Neoplasms
Hypertension	214	Cardiovascular
Hepatitis	608	Digestive System
Carcinoma	2313	Neoplasms
Adenocarcinoma	2313	Neoplasms
Virus Diseases	670	Infections
Depressive Disorder	1978	Mental Disorders
Hypertension	517	Cardiovascular
Hepatitis	1096	Digestive System
Adenocarcinoma	1642	Neoplasms
Myelodysplastic Syndromes	2953	Hemic and Lymphatic
Cognitive Dysfunction	304	Mental Disorders
Carcinoma	1704	Neoplasms
Neuroendocrine Tumors	1704	Neoplasms
